Iter,Loss,ErrorLambda1,ErrorLambda2
6.600000000000000000e+01,9.959118906408548355e-04,9.901246437802910805e+01,2.230725433254145784e+01
6.700000000000000000e+01,9.770676260814070702e-04,9.901160700246691704e+01,2.229888644142702958e+01
6.800000000000000000e+01,9.682723903097212315e-04,9.904719749465584755e+01,2.228895322802371837e+01
6.900000000000000000e+01,9.556688601151108742e-04,9.906637230888009071e+01,2.227934917117647728e+01
7.000000000000000000e+01,9.390861960127949715e-04,9.914680011570453644e+01,2.226449323861231733e+01
7.100000000000000000e+01,9.132165578193962574e-04,9.924022140912711620e+01,2.225318488226362845e+01
7.200000000000000000e+01,8.925000438466668129e-04,9.936653133481740952e+01,2.224102071886914089e+01
7.300000000000000000e+01,8.903191192075610161e-04,9.945987081155180931e+01,2.224736246851617238e+01
7.400000000000000000e+01,8.831450249999761581e-04,9.941662708297371864e+01,2.224443663246217895e+01
7.500000000000000000e+01,8.771668653935194016e-04,9.937863238155841827e+01,2.225155372866352366e+01
7.600000000000000000e+01,8.729975670576095581e-04,9.937055064365267754e+01,2.225800519716258208e+01
7.700000000000000000e+01,8.663818589411675930e-04,9.937924183905124664e+01,2.226842117351480610e+01
7.800000000000000000e+01,8.536507957614958286e-04,9.942627572454512119e+01,2.227802523036204363e+01
7.900000000000000000e+01,8.158189011737704277e-04,9.957612510770559311e+01,2.229499507947521764e+01
8.000000000000000000e+01,7.464924710802733898e-04,9.980835514143109322e+01,2.231351562169700387e+01
8.100000000000000000e+01,6.448337226174771786e-04,1.000563224079087377e+02,2.233585437996925904e+01
8.200000000000000000e+01,5.839788937009871006e-04,1.001272568944841623e+02,2.234577296419229953e+01
8.300000000000000000e+01,5.616605631075799465e-04,1.000695298193022609e+02,2.233880947438379394e+01
8.400000000000000000e+01,5.504555883817374706e-04,1.000592649215832353e+02,2.231581240299939140e+01
8.500000000000000000e+01,5.453026387840509415e-04,1.000105842977063730e+02,2.230778098303117574e+01
8.600000000000000000e+01,5.409206496551632881e-04,1.000759032787755132e+02,2.230184885043169984e+01
8.700000000000000000e+01,5.375113105401396751e-04,1.001367426826618612e+02,2.229721871487625151e+01
8.800000000000000000e+01,5.337178008630871773e-04,1.001588694751262665e+02,2.229521451717926439e+01
8.900000000000000000e+01,5.292412824928760529e-04,1.001639375463128090e+02,2.229680909782869236e+01
9.000000000000000000e+01,5.271773552522063255e-04,1.001671233447268605e+02,2.229577042602952375e+01
