Iter,Loss,ErrorLambda1,ErrorLambda2
1.660000000000000000e+02,1.093716360628604889e-02,4.736630320549011230e+01,2.934463613059352127e+01
1.670000000000000000e+02,1.079258508980274200e-02,4.726240634918212891e+01,2.924929044818395596e+01
1.680000000000000000e+02,1.073072850704193115e-02,4.672153592109680176e+01,2.918732855515047220e+01
1.690000000000000000e+02,1.070831622928380966e-02,4.635374546051025391e+01,2.921473632438627632e+01
1.700000000000000000e+02,1.069550309330224991e-02,4.623517990112304688e+01,2.920275502574516224e+01
1.710000000000000000e+02,1.068202685564756393e-02,4.606199264526367188e+01,2.914263640942569822e+01
1.720000000000000000e+02,1.067165471613407135e-02,4.598448872566223145e+01,2.909396512666748791e+01
1.730000000000000000e+02,1.065746322274208069e-02,4.592267870903015137e+01,2.901229772781034910e+01
1.740000000000000000e+02,1.060182787477970123e-02,4.584367275238037109e+01,2.879057787163860027e+01
1.750000000000000000e+02,1.048514712601900101e-02,4.533324837684631348e+01,2.821990086389698504e+01
1.760000000000000000e+02,1.030734926462173462e-02,4.485673308372497559e+01,2.752402001681478083e+01
1.770000000000000000e+02,1.016305014491081238e-02,4.361821413040161133e+01,2.660508074356612340e+01
1.780000000000000000e+02,1.007202081382274628e-02,4.281765818595886230e+01,2.652366935536371173e+01
1.790000000000000000e+02,9.984692558646202087e-03,4.325119256973266602e+01,2.666836657741403727e+01
1.800000000000000000e+02,9.967090561985969543e-03,4.291073679924011230e+01,2.670119445793986301e+01
1.810000000000000000e+02,9.942091070115566254e-03,4.269170165061950684e+01,2.667892884556896149e+01
1.820000000000000000e+02,9.928739629685878754e-03,4.261886477470397949e+01,2.674102971581500654e+01
1.830000000000000000e+02,9.910732507705688477e-03,4.242994189262390137e+01,2.679274386806936903e+01
1.840000000000000000e+02,9.866700507700443268e-03,4.219805598258972168e+01,2.684641833047991000e+01
1.850000000000000000e+02,9.809962473809719086e-03,4.198830127716064453e+01,2.681148384799520912e+01
1.860000000000000000e+02,9.711597114801406860e-03,4.179199934005737305e+01,2.663850110589288178e+01
1.870000000000000000e+02,9.541365318000316620e-03,4.184075593948364258e+01,2.627920112387214147e+01
1.880000000000000000e+02,9.378336369991302490e-03,4.216248989105224609e+01,2.588188721691987482e+01
1.890000000000000000e+02,9.266160428524017334e-03,4.237235188484191895e+01,2.546456059135828198e+01
1.900000000000000000e+02,9.198609739542007446e-03,4.226427674293518066e+01,2.486446430209374014e+01
1.910000000000000000e+02,9.228084236383438110e-03,4.212728738784790039e+01,2.448215261950833366e+01
1.920000000000000000e+02,9.164755232632160187e-03,4.220629930496215820e+01,2.470289232060199680e+01
1.930000000000000000e+02,9.135236963629722595e-03,4.197215437889099121e+01,2.428975695518774813e+01
1.940000000000000000e+02,9.108780883252620697e-03,4.191655516624450684e+01,2.396385539172336365e+01
1.950000000000000000e+02,9.086804464459419250e-03,4.175555109977722168e+01,2.366673674044015740e+01
1.960000000000000000e+02,9.060557931661605835e-03,4.173874258995056152e+01,2.338696829695714285e+01
1.970000000000000000e+02,9.030423127114772797e-03,4.148452877998352051e+01,2.285648496200728630e+01
1.980000000000000000e+02,8.973710238933563232e-03,4.134321808815002441e+01,2.252726257462161996e+01
1.990000000000000000e+02,8.890284225344657898e-03,4.072303771972656250e+01,2.168517038533114416e+01
2.000000000000000000e+02,8.742108941078186035e-03,3.960094451904296875e+01,2.105882203207213621e+01
2.010000000000000000e+02,8.605928160250186920e-03,3.839854001998901367e+01,2.071738427916104186e+01
2.020000000000000000e+02,8.583878166973590851e-03,3.686385750770568848e+01,2.016034898202117631e+01
2.030000000000000000e+02,8.525208570063114166e-03,3.751434683799743652e+01,2.039691745616695329e+01
2.040000000000000000e+02,8.419871330261230469e-03,3.657891154289245605e+01,1.982684024481640606e+01
2.050000000000000000e+02,9.088966064155101776e-03,3.621551990509033203e+01,2.150204962130172603e+01
2.060000000000000000e+02,8.330555632710456848e-03,3.648698329925537109e+01,2.025394647738848164e+01
2.070000000000000000e+02,8.229382336139678955e-03,3.600152730941772461e+01,2.026622767422512794e+01
2.080000000000000000e+02,8.181749843060970306e-03,3.565720915794372559e+01,2.016792689740102418e+01
2.090000000000000000e+02,8.093846961855888367e-03,3.567892313003540039e+01,2.020727207773712308e+01
2.100000000000000000e+02,7.994712330400943756e-03,3.496605753898620605e+01,2.009012160213515941e+01
2.110000000000000000e+02,7.873572409152984619e-03,3.507807850837707520e+01,2.027402502730902256e+01
2.120000000000000000e+02,7.830033078789710999e-03,3.482698798179626465e+01,2.034827543176928444e+01
2.130000000000000000e+02,7.802564185112714767e-03,3.508628606796264648e+01,2.050210126230807717e+01
2.140000000000000000e+02,7.771455682814121246e-03,3.547335267066955566e+01,2.064325822273307409e+01
2.150000000000000000e+02,7.748504169285297394e-03,3.554653525352478027e+01,2.078495646282805964e+01
2.160000000000000000e+02,7.724057883024215698e-03,3.561608791351318359e+01,2.091614363689906497e+01
2.170000000000000000e+02,7.658381015062332153e-03,3.550080657005310059e+01,2.120609398984998251e+01
2.180000000000000000e+02,7.604705169796943665e-03,3.487068414688110352e+01,2.140421697824626435e+01
2.190000000000000000e+02,7.556102238595485687e-03,3.463020324707031250e+01,2.142981072912858309e+01
2.200000000000000000e+02,7.495701313018798828e-03,3.407224416732788086e+01,2.137089902018139398e+01
2.210000000000000000e+02,7.427521049976348877e-03,3.359696269035339355e+01,2.104602149933591093e+01
2.220000000000000000e+02,7.312607951462268829e-03,3.332452178001403809e+01,2.076617990995154273e+01
2.230000000000000000e+02,7.106640841811895370e-03,3.194001317024230957e+01,2.009533690490140501e+01
2.240000000000000000e+02,6.999610923230648041e-03,3.211113810539245605e+01,1.981919649812534345e+01
2.250000000000000000e+02,6.921361666172742844e-03,3.192866444587707520e+01,1.976033599130909835e+01
2.260000000000000000e+02,6.881758570671081543e-03,3.097721934318542480e+01,1.944566963829205264e+01
2.270000000000000000e+02,6.856412626802921295e-03,3.080155849456787109e+01,1.959626241999118434e+01
2.280000000000000000e+02,6.846049800515174866e-03,3.069124221801757812e+01,1.949494071744133450e+01
2.290000000000000000e+02,6.821593269705772400e-03,3.067622780799865723e+01,1.955315022573556760e+01
2.300000000000000000e+02,6.804740522056818008e-03,3.034399151802062988e+01,1.956389535864386175e+01
2.310000000000000000e+02,6.784517318010330200e-03,2.989059090614318848e+01,1.957052237730616184e+01
2.320000000000000000e+02,6.757635623216629028e-03,2.947888970375061035e+01,1.967201231542911799e+01
2.330000000000000000e+02,6.716152653098106384e-03,2.897911667823791504e+01,1.970445252267779068e+01
2.340000000000000000e+02,6.616993807256221771e-03,2.806063890457153320e+01,1.986941847399216954e+01
2.350000000000000000e+02,6.468270905315876007e-03,2.689162492752075195e+01,1.985443819339571547e+01
2.360000000000000000e+02,6.359770428389310837e-03,2.572313547134399414e+01,1.988894111506245110e+01
2.370000000000000000e+02,6.323304958641529083e-03,2.562853097915649414e+01,1.945527369513929372e+01
2.380000000000000000e+02,6.211731117218732834e-03,2.569708824157714844e+01,1.915972768073511290e+01
2.390000000000000000e+02,6.145393475890159607e-03,2.595804929733276367e+01,1.907055551239947278e+01
