Iter,Loss,ErrorLambda1,ErrorLambda2
1.340000000000000000e+02,3.202420806884765625e+01,3.320574760437011719e-01,1.971067138721055585e+02
1.350000000000000000e+02,3.124578666687011719e+01,2.623438835144042969e-01,1.981218326910391738e+02
1.360000000000000000e+02,3.036339569091796875e+01,4.482388496398925781e-01,1.993269260449586966e+02
1.370000000000000000e+02,2.969231033325195312e+01,4.589259624481201172e-01,1.998829226702993935e+02
1.380000000000000000e+02,2.933666229248046875e+01,5.160629749298095703e-01,2.000489931247241486e+02
1.390000000000000000e+02,2.906167602539062500e+01,5.229473114013671875e-01,2.002895846234441706e+02
1.400000000000000000e+02,2.861211013793945312e+01,4.894435405731201172e-01,2.007133042007837389e+02
1.410000000000000000e+02,2.788481140136718750e+01,4.761755466461181641e-01,2.013306556081767269e+02
1.420000000000000000e+02,2.711976814270019531e+01,5.360841751098632812e-01,2.020110587825332686e+02
1.430000000000000000e+02,2.631385231018066406e+01,7.193326950073242188e-01,2.027920229420656710e+02
1.440000000000000000e+02,2.605677223205566406e+01,6.754159927368164062e-01,2.030735468871810667e+02
1.450000000000000000e+02,2.588801574707031250e+01,7.094264030456542969e-01,2.032076964702567636e+02
1.460000000000000000e+02,2.548414611816406250e+01,6.879270076751708984e-01,2.039568275335216754e+02
1.470000000000000000e+02,2.495236587524414062e+01,6.789505481719970703e-01,2.056461174960168137e+02
1.480000000000000000e+02,2.452619552612304688e+01,7.285952568054199219e-01,2.067028417036382280e+02
1.490000000000000000e+02,2.405689430236816406e+01,8.104860782623291016e-01,2.078274745660729081e+02
1.500000000000000000e+02,2.380539321899414062e+01,7.936060428619384766e-01,2.078063500297630526e+02
1.510000000000000000e+02,2.363126373291015625e+01,8.613109588623046875e-01,2.085775711552356597e+02
1.520000000000000000e+02,2.343755149841308594e+01,8.306026458740234375e-01,2.079350868161388348e+02
1.530000000000000000e+02,2.314144325256347656e+01,7.571876049041748047e-01,2.073742625613090809e+02
1.540000000000000000e+02,2.290467453002929688e+01,6.476342678070068359e-01,2.067474607034617122e+02
1.550000000000000000e+02,2.263787841796875000e+01,6.788551807403564453e-01,2.062788588010538433e+02
1.560000000000000000e+02,2.238681030273437500e+01,6.268143653869628906e-01,2.062541647447581283e+02
1.570000000000000000e+02,2.213044738769531250e+01,6.785213947296142578e-01,2.064882023707171754e+02
1.580000000000000000e+02,2.181826782226562500e+01,7.627129554748535156e-01,2.066671465037795201e+02
1.590000000000000000e+02,2.154573059082031250e+01,9.379386901855468750e-01,2.063254381110334066e+02
1.600000000000000000e+02,2.142772865295410156e+01,9.697735309600830078e-01,2.063255844028361139e+02
1.610000000000000000e+02,2.132939529418945312e+01,1.009255647659301758e+00,2.061055615315757166e+02
1.620000000000000000e+02,2.114581298828125000e+01,1.006060838699340820e+00,2.059547931997133503e+02
1.630000000000000000e+02,2.081074333190917969e+01,1.181590557098388672e+00,2.054569914534865802e+02
1.640000000000000000e+02,2.054827690124511719e+01,1.202780008316040039e+00,2.051966798197626360e+02
1.650000000000000000e+02,2.039798355102539062e+01,1.375770568847656250e+00,2.049943289982683439e+02
1.660000000000000000e+02,2.047830963134765625e+01,1.197063922882080078e+00,2.062708127519053392e+02
1.670000000000000000e+02,2.031905364990234375e+01,1.301902532577514648e+00,2.055213891050350128e+02
1.680000000000000000e+02,2.022720146179199219e+01,1.420027017593383789e+00,2.052888143971029535e+02
1.690000000000000000e+02,2.010301399230957031e+01,1.614505052566528320e+00,2.049556494456345206e+02
1.700000000000000000e+02,1.995265579223632812e+01,1.742863655090332031e+00,2.048888818668823717e+02
1.710000000000000000e+02,1.979005050659179688e+01,1.809394359588623047e+00,2.042757144050466138e+02
1.720000000000000000e+02,1.970565986633300781e+01,2.069890499114990234e+00,2.038127886245834759e+02
1.730000000000000000e+02,2.018715095520019531e+01,1.402211189270019531e+00,2.048053199891802478e+02
1.740000000000000000e+02,1.960863494873046875e+01,1.875811815261840820e+00,2.041009249591809294e+02
1.750000000000000000e+02,1.943110466003417969e+01,1.699948310852050781e+00,2.037378872216012269e+02
1.760000000000000000e+02,1.932934951782226562e+01,1.620459556579589844e+00,2.031722645956428721e+02
1.770000000000000000e+02,1.916719818115234375e+01,1.529341936111450195e+00,2.029934960127437762e+02
1.780000000000000000e+02,1.916797447204589844e+01,1.748150587081909180e+00,2.003030434692925610e+02
1.790000000000000000e+02,1.901459121704101562e+01,1.638752222061157227e+00,2.016452122423417279e+02
1.800000000000000000e+02,1.878061676025390625e+01,1.276040077209472656e+00,2.011287144037299583e+02
1.810000000000000000e+02,1.858383560180664062e+01,1.773685216903686523e+00,1.992690822661712104e+02
1.820000000000000000e+02,1.841952896118164062e+01,1.761007308959960938e+00,1.998789142749054122e+02
1.830000000000000000e+02,1.832220840454101562e+01,1.716065406799316406e+00,1.999949236744463121e+02
1.840000000000000000e+02,1.822234725952148438e+01,1.762831211090087891e+00,1.999987857780376146e+02
1.850000000000000000e+02,1.797301673889160156e+01,1.930499076843261719e+00,1.993802932945835664e+02
1.860000000000000000e+02,1.771718215942382812e+01,2.143830060958862305e+00,1.985135728803085726e+02
1.870000000000000000e+02,1.756270217895507812e+01,2.229017019271850586e+00,1.973422729328127048e+02
1.880000000000000000e+02,1.742618942260742188e+01,2.318876981735229492e+00,1.963874555949519447e+02
1.890000000000000000e+02,1.727336883544921875e+01,2.326422929763793945e+00,1.953012389599062431e+02
1.900000000000000000e+02,1.708906173706054688e+01,2.322733402252197266e+00,1.941101311023248286e+02
1.910000000000000000e+02,1.686688995361328125e+01,2.331829071044921875e+00,1.925357972383911260e+02
1.920000000000000000e+02,1.675314140319824219e+01,2.340221405029296875e+00,1.920552286665224244e+02
1.930000000000000000e+02,1.664246749877929688e+01,2.411890029907226562e+00,1.916056154401049980e+02
1.940000000000000000e+02,1.648005676269531250e+01,2.512627840042114258e+00,1.911304596649361827e+02
1.950000000000000000e+02,1.623949813842773438e+01,2.695250511169433594e+00,1.888455865152897672e+02
1.960000000000000000e+02,1.606914138793945312e+01,2.859687805175781250e+00,1.876368943830238152e+02
1.970000000000000000e+02,1.590950870513916016e+01,2.779489755630493164e+00,1.874617830951922031e+02
1.980000000000000000e+02,1.579787254333496094e+01,2.701717615127563477e+00,1.867112183722608449e+02
1.990000000000000000e+02,1.567203140258789062e+01,2.674889564514160156e+00,1.862197364319107464e+02
2.000000000000000000e+02,1.547251892089843750e+01,2.719908952713012695e+00,1.847058210824920366e+02
2.010000000000000000e+02,1.536416912078857422e+01,2.724552154541015625e+00,1.841105012205856610e+02
2.020000000000000000e+02,1.518552589416503906e+01,2.748882770538330078e+00,1.830480423742984044e+02
2.030000000000000000e+02,1.506620979309082031e+01,2.767914533615112305e+00,1.821297394703914847e+02
2.040000000000000000e+02,1.489955043792724609e+01,2.759993076324462891e+00,1.808264550584999029e+02
2.050000000000000000e+02,1.468244552612304688e+01,2.853709459304809570e+00,1.786325461517721749e+02
2.060000000000000000e+02,1.447816753387451172e+01,2.929919958114624023e+00,1.766832663975190201e+02
2.070000000000000000e+02,1.431141757965087891e+01,2.970492839813232422e+00,1.752158718413588190e+02
2.080000000000000000e+02,1.414292430877685547e+01,3.046244382858276367e+00,1.737127528269793686e+02
2.090000000000000000e+02,1.400967216491699219e+01,3.069788217544555664e+00,1.723204352239646937e+02
2.100000000000000000e+02,1.388754653930664062e+01,3.116041421890258789e+00,1.704427799363133147e+02
2.110000000000000000e+02,1.375810813903808594e+01,3.145289421081542969e+00,1.686394408844334407e+02
2.120000000000000000e+02,1.360730171203613281e+01,3.112262487411499023e+00,1.662198915012216105e+02
2.130000000000000000e+02,1.351528358459472656e+01,3.113484382629394531e+00,1.644030643451327762e+02
2.140000000000000000e+02,1.339767646789550781e+01,3.037118911743164062e+00,1.642288893248384625e+02
2.150000000000000000e+02,1.328550052642822266e+01,2.960729598999023438e+00,1.635174722883095626e+02
2.160000000000000000e+02,1.320820713043212891e+01,2.920770645141601562e+00,1.633515481256874864e+02
2.170000000000000000e+02,1.310728549957275391e+01,2.914935350418090820e+00,1.620381695794095833e+02
2.180000000000000000e+02,1.303971862792968750e+01,2.949798107147216797e+00,1.609315891254281041e+02
2.190000000000000000e+02,1.297378253936767578e+01,3.019928932189941406e+00,1.597723143641141519e+02
2.200000000000000000e+02,1.289383316040039062e+01,3.113925457000732422e+00,1.584066511275513847e+02
2.210000000000000000e+02,1.276233768463134766e+01,3.137391805648803711e+00,1.567292108010748848e+02
2.220000000000000000e+02,1.290256118774414062e+01,3.655558824539184570e+00,1.528840185421933882e+02
2.230000000000000000e+02,1.267414665222167969e+01,3.336375951766967773e+00,1.552457826633388152e+02
2.240000000000000000e+02,1.258986663818359375e+01,3.235805034637451172e+00,1.551525655266585204e+02
2.250000000000000000e+02,1.255374526977539062e+01,3.172296285629272461e+00,1.548647510340270514e+02
2.260000000000000000e+02,1.250581932067871094e+01,3.110933303833007812e+00,1.548222093778019541e+02
2.270000000000000000e+02,1.240900611877441406e+01,3.038084506988525391e+00,1.535081871475921957e+02
2.280000000000000000e+02,1.230165958404541016e+01,3.015381097793579102e+00,1.515199352570998030e+02
2.290000000000000000e+02,1.212678432464599609e+01,3.038835525512695312e+00,1.478366295070858598e+02
2.300000000000000000e+02,1.191099166870117188e+01,3.004765510559082031e+00,1.432404921665859945e+02
2.310000000000000000e+02,1.177065563201904297e+01,3.076809644699096680e+00,1.414913542276063367e+02
2.320000000000000000e+02,1.168229484558105469e+01,3.103864192962646484e+00,1.404678821467385887e+02
2.330000000000000000e+02,1.161144828796386719e+01,3.090572357177734375e+00,1.396256509802355481e+02
2.340000000000000000e+02,1.149536705017089844e+01,3.038305044174194336e+00,1.383377272076274380e+02
2.350000000000000000e+02,1.135415267944335938e+01,2.963012456893920898e+00,1.362572090771722912e+02
2.360000000000000000e+02,1.117726421356201172e+01,2.962303161621093750e+00,1.328286412431994279e+02
2.370000000000000000e+02,1.106636428833007812e+01,2.883136272430419922e+00,1.307773814732842652e+02
2.380000000000000000e+02,1.098653221130371094e+01,2.943587303161621094e+00,1.316008726598614658e+02
2.390000000000000000e+02,1.090569877624511719e+01,3.033846616744995117e+00,1.311153594250615129e+02
2.400000000000000000e+02,1.080294799804687500e+01,2.999001741409301758e+00,1.309032070527863425e+02
