Iter,Loss,l1,l2
1.770000000000000000e+02,4.948880691965052847e+02,8.598863220214843750e+01,1.167835006713867188e+02
1.780000000000000000e+02,4.940963569393930470e+02,8.586015319824218750e+01,1.157108078002929688e+02
1.790000000000000000e+02,4.933063982285001998e+02,8.573042297363281250e+01,1.146387100219726562e+02
1.800000000000000000e+02,4.925181879205745759e+02,8.559943389892578125e+01,1.135694046020507812e+02
1.810000000000000000e+02,4.917317960548958808e+02,8.546718597412109375e+01,1.125046157836914062e+02
1.820000000000000000e+02,4.909471925833810246e+02,8.533367919921875000e+01,1.114458312988281250e+02
1.830000000000000000e+02,4.901643991845019173e+02,8.519892120361328125e+01,1.103938827514648438e+02
1.840000000000000000e+02,4.893834401996819565e+02,8.506291961669921875e+01,1.093487243652343750e+02
1.850000000000000000e+02,4.886043593791089847e+02,8.492568206787109375e+01,1.083099517822265625e+02
1.860000000000000000e+02,4.878272092606121646e+02,8.478721618652343750e+01,1.072768325805664062e+02
1.870000000000000000e+02,4.870520042801439331e+02,8.464754486083984375e+01,1.062483215332031250e+02
1.880000000000000000e+02,4.862788153003742764e+02,8.450666809082031250e+01,1.052229385375976562e+02
1.890000000000000000e+02,4.855076702944548401e+02,8.436460113525390625e+01,1.041990127563476562e+02
1.900000000000000000e+02,4.847386163171199769e+02,8.422135925292968750e+01,1.031749725341796875e+02
1.910000000000000000e+02,4.839716484529955665e+02,8.407698059082031250e+01,1.021492156982421875e+02
1.920000000000000000e+02,4.832068084774601857e+02,8.393144226074218750e+01,1.011200408935546875e+02
1.930000000000000000e+02,4.824441254418549647e+02,8.378478240966796875e+01,1.000857696533203125e+02
1.940000000000000000e+02,4.816836221845507566e+02,8.363700866699218750e+01,9.904478454589843750e+01
1.950000000000000000e+02,4.809252929551623765e+02,8.348815155029296875e+01,9.799560546875000000e+01
1.960000000000000000e+02,4.801691439828674675e+02,8.333820343017578125e+01,9.693679809570312500e+01
1.970000000000000000e+02,4.794151979219219015e+02,8.318720245361328125e+01,9.586714935302734375e+01
1.980000000000000000e+02,4.786634458641096899e+02,8.303516387939453125e+01,9.478580474853515625e+01
1.990000000000000000e+02,4.779138572580655477e+02,8.288210296630859375e+01,9.369216918945312500e+01
2.000000000000000000e+02,4.771663846346249329e+02,8.272804260253906250e+01,9.258596038818359375e+01
2.010000000000000000e+02,4.764210018434508811e+02,8.257300567626953125e+01,9.146716308593750000e+01
2.020000000000000000e+02,4.756776509827370774e+02,8.241702270507812500e+01,9.033602142333984375e+01
2.030000000000000000e+02,4.749362596294392347e+02,8.226011657714843750e+01,8.919290161132812500e+01
2.040000000000000000e+02,4.741967367447525135e+02,8.210229492187500000e+01,8.803832244873046875e+01
2.050000000000000000e+02,4.734590100680681530e+02,8.194361877441406250e+01,8.687300109863281250e+01
2.060000000000000000e+02,4.727229848834493282e+02,8.178409576416015625e+01,8.569778442382812500e+01
2.070000000000000000e+02,4.719885521702533424e+02,8.162375640869140625e+01,8.451364135742187500e+01
2.080000000000000000e+02,4.712555905435028762e+02,8.146263885498046875e+01,8.332169342041015625e+01
2.090000000000000000e+02,4.705239914904593661e+02,8.130076599121093750e+01,8.212319183349609375e+01
2.100000000000000000e+02,4.697936296801281060e+02,8.113816833496093750e+01,8.091946411132812500e+01
2.110000000000000000e+02,4.690643747840926494e+02,8.097489166259765625e+01,7.971184539794921875e+01
2.120000000000000000e+02,4.683360899847287442e+02,8.081094360351562500e+01,7.850174713134765625e+01
2.130000000000000000e+02,4.676086506989643112e+02,8.064636230468750000e+01,7.729063415527343750e+01
2.140000000000000000e+02,4.668819249511896032e+02,8.048119354248046875e+01,7.607994842529296875e+01
2.150000000000000000e+02,4.661557775687237495e+02,8.031546783447265625e+01,7.487116241455078125e+01
2.160000000000000000e+02,4.654300722621522368e+02,8.014920043945312500e+01,7.366576385498046875e+01
2.170000000000000000e+02,4.647046814590532904e+02,7.998243713378906250e+01,7.246523284912109375e+01
2.180000000000000000e+02,4.639794736809734559e+02,7.981520080566406250e+01,7.127099609375000000e+01
2.190000000000000000e+02,4.632543176455771459e+02,7.964753723144531250e+01,7.008443450927734375e+01
2.200000000000000000e+02,4.625290796209706059e+02,7.947946166992187500e+01,6.890687561035156250e+01
2.210000000000000000e+02,4.618036314000443099e+02,7.931101226806640625e+01,6.773954772949218750e+01
2.220000000000000000e+02,4.610778466550983694e+02,7.914221191406250000e+01,6.658350372314453125e+01
2.230000000000000000e+02,4.603515972500276803e+02,7.897309875488281250e+01,6.543965911865234375e+01
2.240000000000000000e+02,4.596247527328956153e+02,7.880370330810546875e+01,6.430867767333984375e+01
2.250000000000000000e+02,4.588971905723192322e+02,7.863403320312500000e+01,6.319097137451171875e+01
2.260000000000000000e+02,4.581687912556349715e+02,7.846412658691406250e+01,6.208673858642578125e+01
2.270000000000000000e+02,4.574394345259597685e+02,7.829400634765625000e+01,6.099597930908203125e+01
2.280000000000000000e+02,4.567090004069438010e+02,7.812370300292968750e+01,5.991854858398437500e+01
2.290000000000000000e+02,4.559773813130745452e+02,7.795321655273437500e+01,5.885420608520507812e+01
