Iter,Loss,l1,l2
7.600000000000000000e+01,6.277508002912456959e+02,9.456848907470703125e+01,9.173510742187500000e+01
7.700000000000000000e+01,6.230949610346425516e+02,9.452192687988281250e+01,7.678619384765625000e+01
7.800000000000000000e+01,6.187008188789350243e+02,9.447447967529296875e+01,6.164184188842773438e+01
7.900000000000000000e+01,6.149207474896988970e+02,9.442608642578125000e+01,4.638928222656250000e+01
8.000000000000000000e+01,6.114242135802378471e+02,9.437663269042968750e+01,3.108905601501464844e+01
8.100000000000000000e+01,6.080661169777569057e+02,9.432603454589843750e+01,1.578967094421386719e+01
8.200000000000000000e+01,6.050199353400507789e+02,9.427417755126953125e+01,5.489308238029479980e-01
8.300000000000000000e+01,6.023775809658349090e+02,9.422107696533203125e+01,1.455850887298583984e+01
8.400000000000000000e+01,5.999927209805363191e+02,9.416681671142578125e+01,2.945362663269042969e+01
8.500000000000000000e+01,5.976745862719188835e+02,9.411148071289062500e+01,4.406866836547851562e+01
8.600000000000000000e+01,5.955897030814489881e+02,9.405519104003906250e+01,5.835005187988281250e+01
8.700000000000000000e+01,5.937231140272540415e+02,9.399806213378906250e+01,7.225180816650390625e+01
8.800000000000000000e+01,5.917389123198774996e+02,9.394020843505859375e+01,8.573033142089843750e+01
8.900000000000000000e+01,5.898070424436911026e+02,9.388176727294921875e+01,9.874401855468750000e+01
9.000000000000000000e+01,5.880491550864135206e+02,9.382287597656250000e+01,1.112549209594726562e+02
9.100000000000000000e+01,5.861998534792897999e+02,9.376365661621093750e+01,1.232274169921875000e+02
9.200000000000000000e+01,5.843899641449036153e+02,9.370424652099609375e+01,1.346253814697265625e+02
9.300000000000000000e+01,5.827682620520824912e+02,9.364476013183593750e+01,1.454136505126953125e+02
9.400000000000000000e+01,5.811748373838164525e+02,9.358531951904296875e+01,1.555636596679687500e+02
9.500000000000000000e+01,5.796705511749647712e+02,9.352600097656250000e+01,1.650555114746093750e+02
9.600000000000000000e+01,5.783271097771553286e+02,9.346688079833984375e+01,1.738724365234375000e+02
9.700000000000000000e+01,5.770469595050320777e+02,9.340804290771484375e+01,1.819935455322265625e+02
9.800000000000000000e+01,5.758214441598726125e+02,9.334957122802734375e+01,1.893944702148437500e+02
9.900000000000000000e+01,5.746610079931765540e+02,9.329157257080078125e+01,1.960552520751953125e+02
1.000000000000000000e+02,5.735347605757031033e+02,9.323416137695312500e+01,2.019664306640625000e+02
1.010000000000000000e+02,5.724051951269137817e+02,9.317739105224609375e+01,2.071264495849609375e+02
